,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y,predict,no,yes
18,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,no,no,0.9998737797900928,0.00012622020990711772
19,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,no,no,0.9203970395782916,0.0796029604217083
20,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,no,no,0.9996406749656463,0.0003593250343536382
21,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,no,no,0.998394935717376,0.0016050642826239
22,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,no,no,0.999848033147648,0.00015196685235213434
23,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,no,no,0.9995660409142356,0.00043395908576421554
24,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,no,no,0.9990561974076588,0.0009438025923411196
25,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,no,no,0.9366772024076638,0.0633227975923361
26,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,no,yes,0.7281014491112493,0.2718985508887507
27,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,no,no,0.9984450164561988,0.0015549835438012
28,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,no,no,0.9998363745477824,0.0001636254522176859
29,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,no,no,0.9998903724144006,0.00010962758559935204
30,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,no,no,0.9999163288895488,8.367111045119901e-05
31,32,admin,single,secondary,no,217,yes,no,unknown,5,may,345,1,no,no,0.9978920637888368,0.0021079362111632
32,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,no,no,0.9983635716859448,0.0016364283140553
33,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,no,no,0.9997062233501376,0.00029377664986234275
34,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,no,no,0.9998774288644582,0.00012257113554177187
35,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,no,no,0.9999160258419458,8.397415805422076e-05
36,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,no,no,0.9998396353049528,0.0001603646950470506
37,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,no,no,0.9997290055182664,0.0002709944817335777
38,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,no,no,0.9989182957833422,0.0010817042166577
39,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,no,no,0.9981386965900564,0.0018613034099435
40,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,no,no,0.9983397301395814,0.0016602698604185
41,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,no,no,0.9980265075727244,0.0019734924272756
42,54,admin,married,tertiary,no,184,no,no,unknown,5,may,673,2,yes,no,0.7883553647629038,0.2116446352370962
43,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,no,no,0.997207708537678,0.0027922914623219
44,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,no,no,0.9985282407770748,0.0014717592229252
45,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,no,yes,0.7253996873577926,0.2746003126422074
46,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,no,yes,0.6330499963317457,0.3669500036682542
47,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,no,no,0.995374686724775,0.0046253132752249
48,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,no,no,0.9925018648603772,0.0074981351396226
49,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,no,no,0.9997314272777492,0.00026857272225092645
50,31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,no,no,0.817939032986351,0.182060967013649
51,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,no,no,0.999872064783632,0.00012793521636812296
52,42,admin,married,secondary,no,445,yes,no,unknown,5,may,67,1,no,no,0.9998988995999014,0.00010110040009855912
53,47,admin,married,secondary,no,219,yes,no,unknown,5,may,577,1,no,no,0.8693217705410237,0.1306782294589762
54,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,no,no,0.9896626388415334,0.0103373611584666
55,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,no,no,0.998718918685183,0.0012810813148169
56,59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,no,no,0.9944701183906246,0.0055298816093753
57,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,no,no,0.999286735776744,0.0007132642232560162
58,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,no,no,0.9992445271432604,0.0007554728567395707
59,39,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,no,no,0.9999127186300844,8.728136991564887e-05
60,48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,no,no,0.999896507481441,0.00010349251855900268
61,47,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,18,1,no,no,0.999908912508038,9.108749196209844e-05
62,57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,746,2,no,no,0.8273146551329305,0.1726853448670695
63,37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,no,no,0.999921006679954,7.899332004604622e-05
64,51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,no,no,0.7731446771621342,0.2268553228378658
65,39,blue-collar,married,primary,no,279,yes,no,unknown,5,may,361,1,no,no,0.9982566722342884,0.0017433277657117
66,30,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,no,no,0.9998759160081362,0.00012408399186381356
67,36,services,married,secondary,no,143,yes,yes,unknown,5,may,350,1,no,no,0.9989185759978484,0.0010814240021516
68,40,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,332,2,no,no,0.9980890323454702,0.0019109676545297
69,37,technician,married,secondary,no,275,yes,no,unknown,5,may,132,1,no,no,0.9997580478214316,0.00024195217856850057
70,39,admin,divorced,secondary,no,-349,yes,no,unknown,5,may,611,2,no,no,0.8489178650580073,0.1510821349419927
71,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,yes,no,0.9249331981855462,0.0750668018144537
72,57,technician,married,secondary,no,1078,yes,no,unknown,5,may,10,4,no,no,0.9998842023366616,0.00011579766333844236
73,37,admin,married,secondary,no,190,yes,no,unknown,5,may,92,2,no,no,0.9998286859316629,0.000171314068337173
74,50,blue-collar,married,primary,no,61,yes,no,unknown,5,may,621,3,no,no,0.8605412738469864,0.1394587261530135
75,50,technician,single,tertiary,no,339,yes,no,unknown,5,may,2,3,no,no,0.9998695745797928,0.00013042542020711472
76,32,blue-collar,married,secondary,no,1331,yes,no,unknown,5,may,286,2,no,no,0.9933478431282092,0.0066521568717906
77,54,technician,single,unknown,no,447,yes,no,unknown,5,may,742,2,no,no,0.8170249780528342,0.1829750219471657
78,54,management,married,tertiary,no,0,no,no,unknown,5,may,120,2,no,no,0.9998502225838642,0.0001497774161357605
79,51,admin,married,secondary,no,531,yes,no,unknown,5,may,267,2,no,no,0.9984309150221432,0.0015690849778566
80,36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,no,no,0.9991273357190944,0.000872664280905577
81,51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,no,no,0.9981417071370502,0.0018582928629498
82,42,blue-collar,married,secondary,no,490,yes,no,unknown,5,may,386,2,no,no,0.9972650356531404,0.0027349643468596
83,48,management,married,secondary,no,161,yes,no,unknown,5,may,224,3,no,no,0.9994650117006528,0.0005349882993470388
84,32,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,148,2,no,no,0.994859325109,0.0051406748910001
85,40,blue-collar,single,secondary,no,436,yes,no,unknown,5,may,231,3,no,no,0.9989282917197548,0.0010717082802451
86,47,technician,married,tertiary,no,831,yes,no,unknown,5,may,316,3,no,no,0.9918105875491472,0.0081894124508528
87,48,blue-collar,married,secondary,no,1,no,no,unknown,5,may,669,3,no,no,0.7826873303570614,0.2173126696429386
88,42,blue-collar,married,unknown,no,57,yes,no,unknown,5,may,425,2,no,no,0.9971101105577612,0.0028898894422387
89,30,blue-collar,single,secondary,no,-457,yes,no,unknown,5,may,143,2,no,no,0.9997690550518962,0.00023094494810383325
90,58,management,single,tertiary,no,1387,yes,no,unknown,5,may,174,5,no,no,0.999671735720882,0.0003282642791179177
91,45,management,divorced,tertiary,no,24598,yes,no,unknown,5,may,313,3,no,no,0.9968406660111252,0.0031593339888748
92,53,technician,married,secondary,no,56,yes,yes,unknown,5,may,152,2,no,no,0.9998163454932192,0.00018365450678065837
93,51,admin,single,secondary,yes,-2,no,no,unknown,5,may,402,3,no,no,0.9888404476910928,0.0111595523089072
94,50,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,325,2,no,no,0.993921412708569,0.0060785872914309
95,45,technician,married,secondary,no,44,yes,no,unknown,5,may,95,4,no,no,0.9998892044199428,0.00011079558005729652
96,44,services,married,tertiary,no,510,yes,no,unknown,5,may,421,4,no,no,0.9844032713835608,0.0155967286164391
97,55,management,married,tertiary,no,685,yes,no,unknown,5,may,174,3,no,no,0.9997715732875468,0.00022842671245323405
98,45,blue-collar,married,secondary,no,66,yes,no,unknown,5,may,808,2,no,no,0.8013642114573145,0.1986357885426854
99,34,admin,married,secondary,no,560,yes,no,unknown,5,may,198,3,no,no,0.9990943658739948,0.0009056341260051964
100,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,347,3,no,no,0.999043669544107,0.0009563304558930224
101,44,blue-collar,single,secondary,no,34,yes,no,unknown,5,may,404,4,no,no,0.9873994069199084,0.0126005930800915
102,42,services,married,secondary,no,1263,yes,no,unknown,6,may,114,2,no,no,0.9998441219897674,0.00015587801023263717
103,46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,no,no,0.9991436743078392,0.0008563256921609304
104,23,student,single,secondary,no,157,yes,no,unknown,6,may,54,1,no,no,0.9997103982165092,0.0002896017834906832
105,49,blue-collar,single,secondary,no,143,yes,no,unknown,6,may,83,1,no,no,0.9998373758885064,0.00016262411149371863
106,49,services,married,secondary,no,245,yes,yes,unknown,6,may,318,1,no,no,0.9988363984531964,0.0011636015468034
107,40,management,married,secondary,no,8486,no,no,unknown,6,may,260,3,no,no,0.9985588088677436,0.0014411911322563
108,57,technician,married,unknown,no,345,yes,no,unknown,6,may,125,1,no,no,0.9998579833134664,0.00014201668653358464
109,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,yes,yes,0.4435676636772024,0.5564323363227975
110,38,admin,married,secondary,no,1,no,no,unknown,6,may,76,1,no,no,0.999860908908214,0.00013909109178584993
111,29,self-employed,single,tertiary,no,16,yes,no,unknown,6,may,43,1,no,no,0.9997766585099264,0.00022334149007362467
112,46,blue-collar,divorced,primary,no,1927,yes,no,unknown,6,may,241,3,no,no,0.9983083950112288,0.0016916049887711
113,32,services,single,secondary,no,406,yes,no,unknown,6,may,227,1,no,no,0.9988148962576612,0.0011851037423387
114,39,admin,single,secondary,no,-25,yes,no,unknown,6,may,576,1,no,no,0.8787516192307351,0.1212483807692649
115,39,services,married,secondary,no,1142,yes,no,unknown,6,may,276,1,no,no,0.998166041382604,0.0018339586173958
116,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,no,yes,0.7547330741780001,0.2452669258219998
117,40,blue-collar,married,primary,no,46,yes,no,unknown,6,may,119,1,no,no,0.9998979346309276,0.00010206536907238772
118,45,blue-collar,married,secondary,no,39,no,no,unknown,6,may,241,1,no,no,0.99846476110868,0.00153523889132
119,35,management,single,tertiary,no,560,yes,no,unknown,6,may,181,1,no,no,0.9994237349465654,0.0005762650534345247
120,58,technician,divorced,secondary,no,469,no,no,unknown,6,may,196,1,no,no,0.998790195225739,0.001209804774261
121,35,admin,married,secondary,no,530,yes,no,unknown,6,may,149,1,no,no,0.999469484197162,0.0005305158028381669
122,34,technician,married,secondary,no,367,yes,no,unknown,6,may,140,1,no,no,0.9996994368107198,0.0003005631892801652
123,50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,no,no,0.9999043623301151,9.563766988470216e-05
124,50,technician,married,secondary,no,797,yes,no,unknown,6,may,354,1,no,no,0.9979922335701183,0.0020077664298815
125,46,management,divorced,unknown,no,2,yes,no,unknown,6,may,187,1,no,no,0.9997883169097552,0.0002116830902448378
126,35,blue-collar,married,secondary,no,89,yes,no,unknown,6,may,145,2,no,no,0.9997758987805092,0.000224101219490897
127,57,retired,single,secondary,no,1640,no,yes,unknown,6,may,204,4,no,no,0.9982629683495944,0.0017370316504057
128,50,blue-collar,married,primary,no,71,yes,no,unknown,6,may,678,1,no,no,0.8265969979246437,0.1734030020753563
129,37,admin,single,secondary,no,140,yes,no,unknown,6,may,310,1,no,no,0.9978316987746916,0.0021683012253083
130,41,technician,married,secondary,no,871,yes,no,unknown,6,may,145,1,no,no,0.9995686229812564,0.00043137701874356246
131,47,technician,married,unknown,no,178,yes,no,unknown,6,may,169,1,no,no,0.9997273166815228,0.0002726833184772174
132,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,no,no,0.998255723663806,0.0017442763361941
133,44,blue-collar,married,secondary,no,-99,yes,no,unknown,6,may,111,2,no,no,0.9998916264756864,0.00010837352431359738
134,46,admin,married,primary,no,276,yes,yes,unknown,6,may,157,2,no,no,0.999768847603024,0.0002311523969759862
135,32,technician,single,unknown,no,-170,no,no,unknown,6,may,46,1,no,no,0.9997705485957544,0.00022945140424560824
136,41,blue-collar,married,secondary,no,946,yes,no,unknown,6,may,325,1,no,no,0.9937316261258268,0.0062683738741733
137,48,blue-collar,single,secondary,no,44,yes,no,unknown,6,may,153,1,no,no,0.9995803902339828,0.0004196097660172599
138,49,entrepreneur,married,secondary,no,167,yes,yes,unknown,6,may,198,3,no,no,0.9997932095736848,0.00020679042631531103
139,43,blue-collar,married,secondary,no,1335,yes,no,unknown,6,may,371,2,no,no,0.9831838582541416,0.0168161417458584
140,38,management,married,secondary,no,517,yes,no,unknown,6,may,288,2,no,no,0.9985993069621362,0.0014006930378638
141,45,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,263,2,no,no,0.999023988958293,0.0009760110417069374
142,34,blue-collar,married,primary,no,-144,yes,no,unknown,6,may,79,2,no,no,0.9999370878323212,6.291216767877649e-05
143,40,unemployed,single,secondary,no,11,yes,no,unknown,6,may,43,1,no,no,0.9999241976833848,7.580231661527683e-05
144,36,self-employed,married,tertiary,no,107,yes,no,unknown,6,may,146,1,no,no,0.9997197981788302,0.00028020182116981075
145,39,services,divorced,primary,no,471,yes,no,unknown,6,may,161,2,no,no,0.9995895086854676,0.0004104913145323047
146,57,blue-collar,married,primary,no,5431,yes,yes,unknown,6,may,383,1,no,no,0.9913606780080682,0.0086393219919318
147,28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,yes,yes,0.5170611108812708,0.4829388891187291
148,56,blue-collar,married,secondary,no,1602,yes,no,unknown,6,may,427,1,no,no,0.9944887197488648,0.0055112802511352
149,53,entrepreneur,married,secondary,no,288,no,no,unknown,6,may,69,1,no,no,0.9998998551923094,0.00010014480769063426
150,53,blue-collar,married,primary,no,25,yes,no,unknown,6,may,266,3,no,no,0.9989974335420132,0.0010025664579867
151,55,services,divorced,primary,no,2298,yes,no,unknown,6,may,162,2,no,no,0.9995179341313,0.0004820658686999024
152,35,blue-collar,married,primary,no,0,yes,no,unknown,6,may,154,2,no,no,0.999855794853097,0.0001442051469030613
153,37,services,married,secondary,no,358,yes,no,unknown,6,may,390,3,no,no,0.9890229072201104,0.0109770927798895
154,38,technician,married,secondary,no,581,yes,no,unknown,6,may,79,1,no,no,0.9998942834481414,0.00010571655185867057
155,54,services,married,secondary,yes,0,yes,no,unknown,6,may,138,3,no,no,0.9998868632620204,0.00011313673797960009
156,31,self-employed,married,secondary,no,0,yes,no,unknown,6,may,36,5,no,no,0.9999385832687124,6.141673128753859e-05
157,37,blue-collar,married,secondary,no,395,yes,no,unknown,6,may,219,2,no,no,0.999083555743212,0.000916444256788059
158,49,technician,married,unknown,no,15,no,no,unknown,6,may,92,2,no,no,0.999888752260905,0.00011124773909494506
159,43,self-employed,married,secondary,no,918,yes,no,unknown,6,may,193,1,no,no,0.9973612381689676,0.0026387618310322
160,47,technician,married,unknown,no,2106,yes,no,unknown,6,may,168,1,no,no,0.9988650785962896,0.0011349214037103
161,39,management,married,tertiary,no,2877,yes,no,unknown,6,may,278,1,no,no,0.9952669700675232,0.0047330299324767
162,31,blue-collar,single,tertiary,no,60,yes,yes,unknown,6,may,389,1,no,no,0.992133716966554,0.0078662830334459
163,40,technician,single,unknown,no,-5,yes,no,unknown,6,may,78,2,no,no,0.9997747443680622,0.0002252556319378125
164,48,technician,married,secondary,no,147,no,no,unknown,6,may,142,3,no,no,0.9997456240482984,0.0002543759517015393
165,59,retired,married,primary,no,-119,yes,no,unknown,6,may,289,1,no,no,0.9989008553155132,0.0010991446844866
166,30,technician,married,secondary,no,484,yes,no,unknown,6,may,703,1,yes,no,0.7713978092273212,0.2286021907726788
167,32,admin,single,tertiary,no,395,yes,no,unknown,6,may,241,3,no,no,0.9980684750262308,0.0019315249737692
168,30,unemployed,divorced,secondary,no,1144,yes,no,unknown,6,may,252,1,no,no,0.9955619714158208,0.0044380285841792
169,44,services,divorced,secondary,no,1,yes,no,unknown,6,may,235,4,no,no,0.9986426285110224,0.0013573714889777
170,33,blue-collar,married,primary,no,332,yes,no,unknown,6,may,116,2,no,no,0.9999020243982868,9.7975601713209e-05
171,41,technician,married,secondary,no,-366,yes,yes,unknown,6,may,29,3,no,no,0.9999460151231484,5.398487685157647e-05
172,28,technician,single,secondary,no,312,yes,no,unknown,6,may,392,1,no,no,0.9885140865390812,0.0114859134609186
173,33,blue-collar,married,secondary,no,-349,yes,no,unknown,6,may,191,1,no,no,0.9994539279682348,0.0005460720317652023
174,32,admin,married,tertiary,no,281,yes,no,unknown,6,may,226,1,no,no,0.9985723104996714,0.0014276895003285
175,45,services,married,secondary,no,1259,yes,no,unknown,6,may,507,1,no,no,0.9074911150739724,0.0925088849260274
176,41,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,no,no,0.996665387379526,0.0033346126204739
177,35,admin,single,secondary,no,148,yes,no,unknown,6,may,128,2,no,no,0.9996814708360484,0.0003185291639514884
178,40,technician,single,secondary,no,200,yes,no,unknown,6,may,322,2,no,no,0.998356707881009,0.0016432921189909
179,31,blue-collar,single,secondary,no,0,yes,no,unknown,6,may,273,2,no,no,0.9988163193568694,0.0011836806431305
180,38,management,married,tertiary,no,389,yes,no,unknown,6,may,262,1,no,no,0.9987999363812952,0.0012000636187047
181,37,blue-collar,married,primary,no,215,yes,yes,unknown,6,may,308,3,no,no,0.9987299321269776,0.0012700678730225
182,29,admin,married,secondary,no,182,yes,yes,unknown,6,may,477,1,no,no,0.96203269614833,0.0379673038516698
183,40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,no,no,0.9992394212745752,0.000760578725424733
184,30,technician,single,unknown,no,-48,yes,no,unknown,6,may,152,2,no,no,0.999459285943782,0.000540714056217911
185,43,services,divorced,secondary,no,0,yes,no,unknown,6,may,125,2,no,no,0.9998302485963092,0.00016975140369066574
186,40,blue-collar,divorced,primary,no,369,no,no,unknown,6,may,79,2,no,no,0.999869655658663,0.0001303443413369375
187,47,technician,married,secondary,no,503,yes,no,unknown,6,may,109,2,no,no,0.9998509097883578,0.00014909021164217543
188,40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,no,no,0.999740324366062,0.00025967563393791644
189,36,entrepreneur,married,tertiary,no,125,yes,no,unknown,6,may,95,3,no,no,0.9998961317427544,0.00010386825724546275
190,60,retired,married,primary,no,364,yes,no,unknown,6,may,631,2,no,no,0.8715919912144623,0.1284080087855376
191,44,management,married,tertiary,no,105,yes,no,unknown,6,may,1529,2,no,yes,0.6014064473863422,0.3985935526136578
192,49,blue-collar,married,primary,no,198,yes,no,unknown,6,may,200,2,no,no,0.9995661951734848,0.0004338048265153905
193,37,blue-collar,married,secondary,no,183,yes,no,unknown,6,may,112,4,no,no,0.9998878804611018,0.0001121195388982508
194,34,management,married,tertiary,no,105,yes,no,unknown,6,may,314,3,no,no,0.9979005395301708,0.0020994604698292
195,55,technician,married,secondary,no,0,no,no,unknown,6,may,160,3,no,no,0.9996357584465791,0.00036424155342077086
196,55,retired,married,secondary,no,143,yes,no,unknown,6,may,42,3,no,no,0.9999192387698754,8.07612301246097e-05
197,57,blue-collar,married,unknown,no,807,yes,no,unknown,6,may,211,2,no,no,0.999404822025234,0.0005951779747660151
198,54,blue-collar,married,secondary,no,254,yes,no,unknown,6,may,66,2,no,no,0.999913383840596,8.661615940394883e-05
199,38,housemaid,married,secondary,no,0,yes,no,unknown,6,may,59,3,no,no,0.9999507441536284,4.925584637146971e-05
200,48,admin,married,secondary,no,3754,yes,no,unknown,6,may,249,3,no,no,0.9976499534343252,0.0023500465656748
201,44,blue-collar,married,primary,no,67,yes,no,unknown,6,may,220,2,no,no,0.9994148067658049,0.0005851932341951388
202,30,self-employed,single,tertiary,no,800,no,no,unknown,6,may,95,2,no,no,0.9992083671048396,0.0007916328951604654
203,42,technician,single,secondary,no,0,yes,no,unknown,7,may,275,4,no,no,0.9985342123677996,0.0014657876322004
204,39,admin,married,secondary,no,20,yes,no,unknown,7,may,124,2,no,no,0.9997714475099828,0.0002285524900170768
205,46,services,married,secondary,no,89,yes,no,unknown,7,may,479,2,no,no,0.9631437009073148,0.0368562990926851
206,45,management,married,tertiary,no,103,yes,no,unknown,7,may,35,4,no,no,0.9999129572271392,8.704277286084841e-05
207,30,admin,married,secondary,no,4,no,no,unknown,7,may,172,8,no,no,0.99924294437368,0.0007570556263199221
208,30,blue-collar,divorced,secondary,no,251,yes,yes,unknown,7,may,120,2,no,no,0.9998920947560896,0.00010790524391044202
209,37,blue-collar,single,secondary,no,238,yes,no,unknown,7,may,200,2,no,no,0.9993157614438104,0.000684238556189475
210,57,technician,married,secondary,no,197,no,no,unknown,7,may,32,1,no,no,0.999875799312262,0.00012420068773809614
211,31,blue-collar,single,primary,no,435,yes,no,unknown,7,may,159,2,no,no,0.9996688362132352,0.0003311637867648619
212,37,technician,single,tertiary,no,147,no,no,unknown,7,may,416,2,no,no,0.9839906481727334,0.0160093518272665
213,33,services,married,secondary,no,404,yes,no,unknown,7,may,139,1,no,no,0.9998584233013512,0.00014157669864863536
214,35,blue-collar,married,secondary,no,527,yes,yes,unknown,7,may,143,1,no,no,0.999898449482448,0.00010155051755189089
215,36,admin,divorced,secondary,no,0,yes,no,unknown,7,may,133,2,no,no,0.9994614567534428,0.000538543246557249
216,31,blue-collar,single,secondary,no,1415,yes,no,unknown,7,may,485,1,no,no,0.9516476513127786,0.0483523486872213
217,31,technician,single,secondary,no,147,yes,no,unknown,7,may,374,1,no,no,0.99687758141642,0.0031224185835799
218,37,services,single,secondary,no,-196,yes,no,unknown,7,may,207,1,no,no,0.9992532837364174,0.0007467162635826253
219,42,services,married,secondary,no,-246,yes,no,unknown,7,may,149,1,no,no,0.9998107544471404,0.00018924555285972235
220,37,admin,single,secondary,no,245,yes,yes,unknown,7,may,732,2,yes,no,0.7689333996460648,0.2310666003539352
221,54,management,married,tertiary,yes,-248,yes,yes,unknown,7,may,112,1,no,no,0.9999052602789104,9.473972108953304e-05
222,43,blue-collar,divorced,secondary,no,370,yes,no,unknown,7,may,216,1,no,no,0.9964394049955824,0.0035605950044177
223,53,admin,divorced,unknown,no,236,yes,no,unknown,7,may,354,1,no,no,0.998155072185534,0.0018449278144659
224,35,blue-collar,single,primary,no,109,yes,no,unknown,7,may,83,2,no,no,0.9999094849427144,9.051505728567089e-05
225,55,management,divorced,tertiary,no,552,no,no,unknown,7,may,241,2,no,no,0.9978273148977608,0.0021726851022393
226,38,blue-collar,married,primary,no,83,yes,no,unknown,7,may,140,2,no,no,0.9998962629333628,0.00010373706663714048
227,37,management,single,tertiary,yes,45,yes,no,unknown,7,may,204,1,no,no,0.999504173041635,0.000495826958365068
228,42,management,married,tertiary,no,263,yes,no,unknown,7,may,254,1,no,no,0.998713417751152,0.0012865822488479
229,47,management,divorced,tertiary,no,447,no,yes,unknown,7,may,126,1,no,no,0.9998116167624428,0.000188383237557255
230,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,yes,no,0.8521196230233535,0.1478803769766464
231,29,entrepreneur,married,primary,no,56,yes,yes,unknown,7,may,336,1,no,no,0.9971724830481228,0.0028275169518772
232,38,admin,single,secondary,no,100,yes,no,unknown,7,may,786,1,yes,yes,0.7307448512159465,0.2692551487840535
233,43,blue-collar,married,secondary,no,167,yes,no,unknown,7,may,243,1,no,no,0.9987929371014556,0.0012070628985443
234,40,admin,married,secondary,no,2100,yes,yes,unknown,7,may,164,2,no,no,0.9996133167579088,0.0003866832420910752
235,47,admin,married,primary,no,192,yes,no,unknown,7,may,47,1,no,no,0.9999010103377804,9.898966221956968e-05
236,33,management,married,tertiary,no,442,yes,no,unknown,7,may,463,1,no,no,0.9800694516942376,0.0199305483057624
237,47,management,divorced,tertiary,no,34,yes,no,unknown,7,may,104,1,no,no,0.9995987541405488,0.0004012458594511088
238,37,unemployed,divorced,secondary,no,74,yes,no,unknown,7,may,150,1,no,no,0.998809041174286,0.0011909588257141
239,55,blue-collar,married,secondary,no,1268,yes,no,unknown,7,may,223,2,no,no,0.9989114377453155,0.0010885622546844
240,33,admin,married,secondary,no,44,yes,yes,unknown,7,may,231,1,no,no,0.9973728751917396,0.0026271248082604
